Text,Date,Location,Source,Type,URL,Sentiment,Sentiment Score,Dominant Emotion,Anger Score,Disgust Score,Joy Score,Fear Score,Sadness Score
"No, I just -- I mean, I never liked the taste. I've had friends -- when I want to the Wharton School of Finance, I've had friends that didn't like scotch, they hated the taste. And one in particular, became pretty successful, but ultimately alcohol destroyed him.",2016-02-18,"Columbia, SC",YouTube,Interview,https://www.youtube.com/watch?v=ktJ1RxkfLsA&t=2661,Negative,-0.5,Anger,0.477,0.208,0.003,0.076,0.423
"It's really bad shape, so I go back and I need all these guys from the Wharton School, from Harvard, you know they're all guys, Wall Street guys.",2016-02-12,"Tampa, FL",YouTube,Speech,https://www.youtube.com/watch?v=4xEfnpImqms&t=715,Negative,-0.6,,,,,,
"Anybody knows it's no good, you don't have to go to the Wharton School of Finance, you don't have to go to Harvard.",2016-01-26,"Iowa City, IA",YouTube,Speech,https://www.youtube.com/watch?v=m-TFxhnbYj4&t=1355,Negative,-0.4,,,,,,
"Our country is going to hell. We have people that are incompetent leading our country. We have people that are, frankly, you know they like to say, ""Trump likes to speak…"" You know I'm an Ivy League, I went to an Ivy League college, I went to the Wharton School of Finance which is the best business school in the world. I'm like a smart person.",2016-01-24,"Muscatine, IA",YouTube,Speech,https://www.youtube.com/watch?v=aINk68TFm70&t=2472,Positive,0.2,,,,,,
"That's the way life is, folks. You know, this isn't something -- you don't learn this at the Wharton School of Finance, okay?",2016-01-24,"Muscatine, IA",YouTube,Speech,https://www.youtube.com/watch?v=aINk68TFm70&t=2390,Negative,-0.3,,,,,,
"I've seen people over the years. I went to Wharton and I know people that have been -- were phenomenal students, brilliant. But they didn't have that drive. They didn't have that stick-to-it-ness. And they didn't make it like other guys that were not good and not as smart. But they had tremendous drive. And those are the people that are running the country now. So you've really got to never, ever quite or give up. [Applause]",2016-01-18,"Lynchburg, VA",YouTube,Speech,https://www.youtube.com/watch?v=RDPkUAALSLk&t=2356,Positive,0.2,Sadness,0.116,0.078,0.474,0.063,0.592
"And they actually study it in the business books and a lot of the business schools, I think including the Wharton School of Finance, number one business school.",2016-01-16,"Myrtle Beach, SC",YouTube,Speech,https://www.youtube.com/watch?v=_Kiko0R_tjc&t=913,Positive,0.3,,,,,,
"I think that one of the reasons that I'm doing well, it's not that I want to be -- hey, I went to an Ivy League school, I went to the Wharton School of Finance, I can do the best with the best of 'em.",2016-01-15,"Urbandale, IA",YouTube,Speech,https://www.youtube.com/watch?v=FXu_aDx9hiQ&t=1193,Positive,0.3,,,,,,
"I've always been greedy, I love money, right? I take it a lot, I've made a lot of money. I'm worth -- if you would've told me when I was at the Wharton School of Finance that I would have done what I've been able to -- I wouldn't've believed it.",2016-01-09,"Ottumwa, IA",YouTube,Speech,https://www.youtube.com/watch?v=wUF07JcR5bE&t=467,Positive,0.3,,,,,,
"Nabisco, moving their factory there from Chicago, they're closing their factory in Chicago, moving it to Mexico. That doesn't help us, folks. That doesn't -- I went to the greatest schools, I went to the Wharton School of Finance, went to Ivy League college, you know what that doesn't help.",2016-01-09,"Clear Lake, IA",YouTube,Speech,https://www.youtube.com/watch?v=an3nvYiqvIs&t=2660,Positive,0.1,,,,,,
"I studied it at Wharton, I guess it works because, you know, frankly there's something going on.",2015-12-02,"Manassas, VA",YouTube,Speech,https://www.youtube.com/watch?v=sVvUZEcXoUU&t=2101,Positive,0.2,,,,,,
"You know, I went to school in -- I went to the Wharton School of Finance in Philadelphia, I know Philadelphia well.",2015-12-02,"Manassas, VA",YouTube,Speech,https://www.youtube.com/watch?v=sVvUZEcXoUU&t=4720,Positive,0.4,,,,,,
"I took that, at the Wharton School of Finance I took that whole thing, but it never made sense to me.",2015-11-30,"Macon, GA",YouTube,Speech,https://www.youtube.com/watch?v=3e4xnOrnbsw&t=1506,Unknown,,,,,,,
@CarlyFiorina Carly -- I did graduate from Wharton and did very well. Who is your fact checker? Will you apologize?,2015-11-13T15:16:21,,Tweet,Twitter,https://www.twitter.com/realDonaldTrump/status/665261941913440257,Positive,0.445982,,0.073497,0.118343,0.579981,0.201293,0.112553
"Well I think you have to understand polls and when I was at school, when I was at Wharton we actually had a case on polls. We had a one month study on polls. I believe in polls. I generally believe in polls. The thing with these polls, they're all so different. They are coming from all over the lot where one guy is up here, somebody else is up there, you see swings of 10 and 12 points and immediately even the same day. So right now its not very scientific. I think it's very hard when you have this many. But overall, Mark, I'm a believer in polls. I think they say something. At least they spot a trend.",2015-10-27,"New York, NY",DailyMotion,Interview,http://www.dailymotion.com/video/x5q70cs,Positive,0.1,Sadness,0.144,0.081,0.169,0.112,0.555
they were going to Harvard they go to Wharton to go to Stanford and i said i,2015-10-23,"Miami, FL",YouTube,Speech,https://www.youtube.com/watch?v=g-U5gxIpK1E&t=334,Unknown,,,,,,,
i went to Wharton you all went to good,2015-10-14,"Richmond, VA",YouTube,Speech,https://www.youtube.com/watch?v=_5YZK9dAIWw&t=1929,Positive,0.3,,,,,,
"So this is Ford, so Ford announces they're going to build a two and a half billion dollar plant in Mexico. Okay. Now let me ask you so I was a very good student at the best school, the Wharton School of Finance, great business school, and I really understand this stuff and I'm trying to figure. Let's see, how does that help us they're gonna close factories all over the United States, they're building, who the hell ever heard of a $2 billion, that is a big plan.",2015-09-25,"Oklahoma City, OK",YouTube,Speech,https://www.youtube.com/watch?v=DHsMQj9P0AI&t=1757,Positive,0.2,,0.12,0.006,0.701,0.056,0.144
"We also want people of talent to come into the country. We want people to go to our colleges. You to go Harvard, you go to Wharton, you go to Stanford, and you are immediately thrown out as soon as you're finished getting a degree.",2015-08-23,"New York, NY",YouTube,Interview,https://www.youtube.com/watch?v=CwKN8XSsqAg&t=124,Unknown,,,0.42,0.138,0.129,0.181,0.376
"I mean that's a big one. So Ford, great company, they're building a $2.5 billion car factory in Mexico, now they're closing up places all over the United States, they're building this massive factory in Mexico. So I went to this great school, I was actually -- you know that I was – hopefully still am – really smart. I went to this great place, the Wharton School of -- the finest school to get into, even then it was hard to get into Wharton.",2015-08-21,"Mobile, AL",YouTube,Speech,https://www.youtube.com/watch?v=muiHF-T-rZM&t=2055,Positive,0.4,,0.029,0.008,0.637,0.126,0.221
"He'd be poor. But Lindsey Graham, now they say, Donald Now, I went to the Wharton School of Finance. I was a great student. I built a fortune.",2015-07-21,"Sun City, SC",YouTube,Speech,https://www.youtube.com/watch?v=93B_LGWFD1Q&t=633,Positive,0.1,Sadness,0.141,0.131,0.085,0.267,0.526
"John Trump at MIT. Good genes. Very good genes, okay? Very smart. The Wharton School of Finance. Very good. Very smart.",2015-07-21,"Sun City, SC",YouTube,Speech,https://www.youtube.com/watch?v=93B_LGWFD1Q&t=2041,Positive,0.6,Joy,0.063,0.123,0.48,0.201,0.111
"That's why I always start -- went to Wharton, was a good student, went there, went there, did this, build a fortune. You know, I have to give my credentials all the time because we're a little disadvantaged. But you look at the nuclear deal, the thing that really bothers me -- it would have been so easy. And it's not as important as these lives are -- nuclear is so powerful.",2015-07-21,"Sun City, SC",YouTube,Speech,https://www.youtube.com/watch?v=93B_LGWFD1Q&t=2065,Positive,0.2,Joy,0.337,0.011,0.416,0.08,0.243
"You know, I -- I went through phenomenal school, the Wharton School of Finance, which is said to be the greatest business school in the world. I did really well there. I was a great student. So, I mean, I was born with a certain intellect that is good for this.",2015-07-18,"Ames, IA",YouTube,Speech,https://www.youtube.com/watch?v=USc37aih9vE&t=1210,Positive,0.5,Joy,0.108,0.041,0.742,0.057,0.076
"It's the first time I've ever heard the question. I'll certainly think about it. Wharton, I'm very proud of my record there. I was an excellent student. I will certainly think about it.",2015-07-17,"New York, NY",DailyMotion,Interview,http://www.dailymotion.com/video/x5rx7jr,Positive,0.4,Joy,0.007,0.062,0.817,0.015,0.082
"You know, interestingly, first of all, I don't know. I mean, it's something I've never thought about. He -- nobody else seems to. But the answer is I will certainly think about it. I was a very good student. I went to a great school, the Wharton School of Finance.",2015-07-17,"New York, NY",DailyMotion,Interview,http://www.dailymotion.com/video/x5rx7jr,Positive,0.3,Joy,0.071,0.067,0.618,0.106,0.16
"And I remember Ivanka, she said, Dad, you're driving me crazy. And she didn't even know what drugs and alcohol was. And from a time there, right, because I have seen, Joe, friends of mine that are very successful people and they have kids that are very smart kids. They go to Harvard, they go to Wharton, they go to Stanford, they get on drugs, they get on alcohol, they're wiped out.",2015-06-18,"New York, NY",DailyMotion,Interview,http://www.dailymotion.com/video/x5rzid2,Unknown,,Sadness,0.106,0.335,0.183,0.136,0.424
"She said, Daddy, I would love to do it. Now, Ivanka went to Wharton; she was a phenomenal student. She was a very successful model and then she just gave it up cold turkey. She went to the Wharton School of Finance; she was a phenomenal student and does great.",2015-06-18,"New York, NY",DailyMotion,Interview,http://www.dailymotion.com/video/x5rzid2,Positive,0.3,Joy,0.096,0.022,0.714,0.04,0.131
"I do a book, I do a book called The Art Of The Deal."" It's probably the No. 1 selling business book of all sometime. I go to the Wharton School of Finance. I was a good student, and hardest school there is to get in to. Even though it was a long time ago, it is still the hardest school. And then they say, oh he's not qualified.",2015-06-18,"New York, NY",DailyMotion,Interview,http://www.dailymotion.com/video/x5rzid2,Positive,0.2,Joy,0.159,0.039,0.565,0.118,0.182
"Well, I went to the Wharton school of Finance. I have to sort of say that. Because you know, like somebody says, You're smart enough. But go ahead.",2015-06-18,"New York, NY",DailyMotion,Interview,http://www.dailymotion.com/video/x5rzid2,Positive,0.4,Sadness,0.259,0.099,0.305,0.072,0.342
